Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested
ORD000001,CUST2824,jiomart,2025-03-09 19:29:30,30,Fruits & Vegetables,382,"Fast delivery, great service!",5,0,0
ORD000003,CUST5506,jiomart,2025-03-09 21:29:30,25,Beverages,599,Items missing from order.,2,0,1
ORD000004,CUST5012,jiomart,2025-03-09 19:29:30,42,Beverages,946,Items missing from order.,2,1,1
ORD000007,CUST2679,jiomart,2025-03-09 22:29:30,22,Personal Care,1693,"Fast delivery, great service!",5,0,0
ORD000010,CUST7912,jiomart,2025-03-09 08:29:30,51,Grocery,1279,"Very late delivery, not happy.",2,1,1
ORD000012,CUST1488,jiomart,2025-03-09 12:29:30,11,Grocery,1062,Excellent experience!,5,0,0
ORD000013,CUST2535,blinkit,2025-03-09 08:29:30,45,Fruits & Vegetables,516,"Horrible experience, never ordering again.",1,1,1
ORD000014,CUST4582,jiomart,2025-03-09 19:29:30,21,Dairy,322,"Very late delivery, not happy.",2,0,1
ORD000016,CUST9279,blinkit,2025-03-09 07:29:30,35,Beverages,143,Good quality products.,4,0,0
ORD000018,CUST4257,swiggy instamart,2025-03-09 23:29:30,27,Beverages,161,Excellent experience!,5,0,0
ORD000019,CUST9928,swiggy instamart,2025-03-09 15:29:30,34,Dairy,417,"Horrible experience, never ordering again.",1,0,1
ORD000020,CUST7873,swiggy instamart,2025-03-09 20:29:30,26,Beverages,677,Quick and reliable!,5,0,0
ORD000023,CUST5557,swiggy instamart,2025-03-09 01:29:30,33,Beverages,486,Good quality products.,4,0,0
ORD000025,CUST3615,blinkit,2025-03-09 06:29:30,30,Grocery,1288,Delivery person was rude.,2,0,1
ORD000031,CUST6514,swiggy instamart,2025-03-09 08:29:30,8,Beverages,757,Excellent experience!,5,0,0
ORD000032,CUST2674,jiomart,2025-03-09 23:29:30,25,Personal Care,1651,Packaging could be better.,3,0,0
ORD000033,CUST2519,swiggy instamart,2025-03-09 08:29:30,24,Dairy,290,Quick and reliable!,5,0,0
ORD000037,CUST6635,jiomart,2025-03-09 01:29:30,23,Fruits & Vegetables,101,"Fast delivery, great service!",5,0,0
ORD000039,CUST1711,blinkit,2025-03-09 09:29:30,41,Beverages,711,Wrong item delivered.,1,1,1
ORD000040,CUST8527,jiomart,2025-03-09 11:29:30,36,Dairy,632,Quick and reliable!,5,0,0
ORD000042,CUST3045,jiomart,2025-03-09 11:29:30,16,Beverages,409,"Horrible experience, never ordering again.",1,0,1
ORD000044,CUST2291,blinkit,2025-03-09 05:29:30,39,Grocery,1118,Quick and reliable!,5,0,0
ORD000046,CUST6925,jiomart,2025-03-09 14:29:30,34,Snacks,174,Excellent experience!,5,0,0
ORD000048,CUST2139,blinkit,2025-03-09 16:29:30,22,Snacks,71,Packaging could be better.,3,0,0
ORD000051,CUST5741,swiggy instamart,2025-03-09 04:29:30,13,Dairy,289,Quick and reliable!,5,0,0
ORD000052,CUST2307,blinkit,2025-03-09 16:29:30,22,Grocery,774,"Easy to order, loved it!",5,0,0
ORD000053,CUST4814,swiggy instamart,2025-03-09 22:29:30,31,Beverages,917,Quick and reliable!,5,0,0
ORD000056,CUST5554,jiomart,2025-03-09 08:29:30,25,Fruits & Vegetables,657,Packaging could be better.,3,0,0
ORD000057,CUST8428,jiomart,2025-03-09 12:29:30,28,Personal Care,817,Good quality products.,4,0,0
ORD000060,CUST7065,jiomart,2025-03-09 05:29:30,22,Fruits & Vegetables,555,Packaging could be better.,3,0,0
ORD000064,CUST2169,swiggy instamart,2025-03-09 06:29:30,46,Dairy,772,"Horrible experience, never ordering again.",1,1,1
ORD000066,CUST9751,swiggy instamart,2025-03-09 11:29:30,14,Personal Care,1956,Wrong item delivered.,1,0,1
ORD000068,CUST3677,swiggy instamart,2025-03-09 17:29:30,20,Dairy,146,Excellent experience!,5,0,0
ORD000073,CUST6313,swiggy instamart,2025-03-09 11:29:30,35,Dairy,425,"Fast delivery, great service!",5,0,0
ORD000076,CUST1525,swiggy instamart,2025-03-09 21:29:30,39,Grocery,1221,Very satisfied with the service.,5,0,0
ORD000077,CUST6168,swiggy instamart,2025-03-09 11:29:30,36,Beverages,159,Items missing from order.,2,0,1
